Nombre_Base,Nombre_Similar
INSTITUTO PRIVADO MIXTO DE MAGISTERIO BILINGUE NAUQ,INSTITUTO MIXTO PRIVADO DE MAGISTERIO BILINGUE
INSTITUTO PRIVADO MIXTO DE MAGISTERIO BILINGUE NAUQ,INSTITUTO MIXTO PRIVADO DE MAGISTERIO BILINGÜE
INSTITUTO ADOLFO V. HALL DEL NORTE,INSTITUTO ADOLFO V. HALL DE ORIENTE
COLEGIO STHELLA DE HERNANDEZ,COLEGIO STHELLA DE HERNÁNDEZ
COLEGIO STHELLA DE HERNÁNDEZ,COLEGIO STHELLA DE HERNANDEZ
CENTRO DE EDUCACIÓN EXTRAESCOLAR,CENTRO DE EDUCACIÓN EXTRAESCOLAR CEEX
CENTRO DE EDUCACIÓN EXTRAESCOLAR,CENTRO DE EDUCACIÓN EXTRAESCOLAR-CEEX
CENTRO DE EDUCACIÓN EXTRAESCOLAR,CENTRO DE EDUCACIÓN EXTRAESCOLAR CEIBA
CENTRO DE EDUCACIÓN EXTRAESCOLAR,CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX-
CENTRO DE EDUCACIÓN EXTRAESCOLAR,CENTRO DE EDUCACIÓN EXTRAESCOLAR - CEEX
INSTITUTO TECNICO EN RECURSOS NATURALES,INSTITUTO TECNICO MAYA EN RECURSOS NATURALES
INSTITUTO MIXTO PRIVADO DE MAGISTERIO BILINGUE,INSTITUTO MIXTO PRIVADO DE MAGISTERIO BILINGÜE
INSTITUTO MIXTO PRIVADO DE MAGISTERIO BILINGUE,INSTITUTO PRIVADO MIXTO DE MAGISTERIO BILINGUE NAUQ
INSTITUTO MIXTO PRIVADO DE MAGISTERIO BILINGUE,INSTITUTO PRIVADO MIXTO DE MAGISTERIO BILINGUE TUKUR
CENTRO DE ESTUDIOS PREUNIVERSITARIOS CAHABON -CEPREC-,CENTRO DE ESTUDIOS PREUNIVERSITARIO CAHABON -CEPREC-
CENTRO DE ESTUDIOS PREUNIVERSITARIOS CAHABON -CEPREC-,CENTRO DE ESTUDIOS PREUNIVERSITARIO CAHABÓN -CEPREC-
CENTRO DE ESTUDIOS PREUNIVERSITARIO CAHABÓN -CEPREC-,CENTRO DE ESTUDIOS PREUNIVERSITARIO CAHABON -CEPREC-
CENTRO DE ESTUDIOS PREUNIVERSITARIO CAHABÓN -CEPREC-,CENTRO DE ESTUDIOS PREUNIVERSITARIOS CAHABON -CEPREC-
CENTRO DE ESTUDIOS PREUNIVERSITARIO CAHABON -CEPREC-,CENTRO DE ESTUDIOS PREUNIVERSITARIOS CAHABON -CEPREC-
CENTRO DE ESTUDIOS PREUNIVERSITARIO CAHABON -CEPREC-,CENTRO DE ESTUDIOS PREUNIVERSITARIO CAHABÓN -CEPREC-
INSTITUTO MIXTO MUNICIPAL DE MAGISTERIO BILINGUE SEPOC,INSTITUTO MIXTO MUNICIPAL DE MAGISTERIO BILINGUE
LICEO MIXTO EN COMPUTACION DEL NORTE,LICEO MIXTO EN COMPUTACIÓN DEL NORTE
LICEO MIXTO EN COMPUTACIÓN DEL NORTE,LICEO MIXTO EN COMPUTACION DEL NORTE
INSTITUTO DE EDUCACIÓN DIVERSIFICADA POR COOPERATIVA DE ENSEÑANZA SANTO DOMINGO,INSTITUTO DE EDUCACIÓN DIVERSIFICADA POR COOPERATIVA DE ENSEÑANZA
INSTITUTO DE EDUCACIÓN DIVERSIFICADA POR COOPERATIVA DE ENSEÑANZA SANTO DOMINGO,INSTITUTO DE EDUCACIÓN DIVERSIFICADA POR COOPERATIVA DE ENSEÑANZA SAN LUIS
